순,검체명,동물명,Hg,As,Cd,Pb,Al,Ba,U,Bi,Ni,Ti,Cs,Sb,Ca,Mg,Na,K,Cu,Zn,P,Fe,Mn,Cr,Se,Co,Li,V,Mo,B,Ca_Mg,Ca_P,Na_K,Zn_Cu,Na_Mg,Ca_K,종,품종,나이,성별,몸무게,BCS,피부건강,관절건강,심장건강,눈건강,호흡기건강,구강건강,소화기건강,비뇨생식기건강,뇌신경건강,호르몬건강,보호자관찰내용1,보호자관찰내용2,보호자관찰내용3,보호자관찰내용4,보호자관찰내용5,보호자관찰내용6,보호자관찰내용7,보호자관찰내용8,보호자관찰내용9,보호자관찰내용10,수의사소견및진단명1,수의사소견및진단명2,수의사소견및진단명3,수의사소견및진단명4,수의사소견및진단명5,수의사소견및진단명6,수의사소견및진단명7,수의사소견및진단명8,수의사소견및진단명9,수의사소견및진단명10,질병명1,질병명2,질병명3,질병명4,질병명5,질병명6,질병명7,질병명8,질병명9,질병명10,카테고리1,카테고리2,카테고리3,카테고리4,카테고리5,카테고리6,카테고리7,카테고리8,카테고리9,카테고리10,혈액검사일,Purpose_of_visit,Record,Glucose,BUN,Creatinine,BUN/CREratio,ALP,ALT,T_protein,Albumin,Globulin,A/G ratio,T_bilirubin,GGT,T_cholesterol,Phosphorus,Calcium[Ca++],Amylase,Lipase(Dry),Lipase,AST/GOT,ALT/GPT,TG,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-CV,#RETIC,%RETIC,RETHGB,WBC,%NEU,%LYM,%MON,EO(%),%BASO,%GRA,#NEU,#LYM,#MON,EO(#),#BASO,#GRA,PLT,MPV,PDW,THT,cPL,Na+,K+,Ca++,Cl-,pH,PCO2,PO2,HCO3-,BEecf(Ven),tCO2,ANION GAP,SO2,stO2,Hct(Ven),CRP,UPC,Urine protein,Urine Creatinine,pH(U),SDMA,Na/K,새카테고리1,새카테고리2,새카테고리3,새카테고리4,새카테고리5,새카테고리6,새카테고리7,새카테고리8,새카테고리9,새카테고리10
360,P0914_20,라일,0.138,0.057,0.002,0.13,8.986,0.508,0.003,0.008,0.177,0.004,0.006,0.093,351.058,59.55,2246.655,475.298,11.289,189.915,382.596,21.806,0.41,0.227,0.61,0.016,0.044,0.028,0.054,3.341,5.895180521,0.917568401,4.726834533,16.82301355,37.72720403,0.738606096,개,셔틀랜드 쉽독,6,MC,18,3,5,5,5,5,5,3,2,5,5,5,간헐적인 설사,,,,,,,,,,대장염 진단,,,,,,,,,,대장염,,,,,,,,,,소화기질환,,,,,,,,,,2021-09-10,설사진료/대장염,2,,,,,,,,,,,,,,,,,,,,,,9.23,60.6,20.5,65.7,22.2,33.8,19.7,124.6,1.4,24.8,15.57,68.4,16.9,6.9,7.6,0.2,,10.65,2.63,1.08,1.18,0.03,,311,15.5,,0.48,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
361,P0914_21,두부,0.077,0.07,0.006,0.165,8.417,0.885,0.002,0.007,0.317,0.004,0.007,0.058,349.936,66.231,2722.424,494.405,13.912,153.427,318.889,21.615,0.354,0.293,0.824,0.011,0.066,0.03,0.037,1.949,5.283568118,1.097359896,5.506465347,11.02839275,41.10498105,0.707792195,개,비글,10,F,9.7,4,4,4,4,4,1,1,3,3,4,4,호흡이 빨라졌음,식욕 및 기력 저하,,,,,,,,,폐종양,,,,,,,,,,폐종양,,,,,,,,,,종양,,,,,,,,,,2021-09-10,흉수/폐종양 목욕,2,106,9.6,0.7,14,72,,6.4,2.2,4.2,0.5,0.1,5,226,4.7,10.5,1039,,79,,64,,6.54,41.4,14,63.3,21.4,33.8,19.9,84.4,1.3,24.2,11.07,82.1,10.2,6,1.6,0.1,,9.09,1.13,0.66,0.18,0.01,,523,13.9,14.8,0.73,50,151,4.31,1.35,113,7.41,36.4,46,22.7,-1.3,23.8,15.6,82.2,15.5,46,30.7,,,,5,13,,종양,,,,,,,,,
362,P0914_22,신비,0.055,0.038,0.002,0.124,9.834,0.401,0.002,0.008,0.278,0.003,0.004,0.051,162.559,24.192,823.851,141.966,10.925,150.274,165.241,22.016,0.308,0.295,0.405,0.018,0.025,0.023,0.031,1.049,6.719535384,0.983769161,5.803157094,13.75505721,34.0546875,1.145055858,개,포메라니언,8,MC,7,4,4,3,5,5,3,2,4,4,4,4,복부 피하 지방종,,,,,,,,,,스켈링,지방종 제거 수술,미약한 고지혈증,,,,,,,,지방종,고콜레스테롤증,,,,,,,,,종양,혈액,,,,,,,,,2021-09-11,마취전검사,3,107,15.4,0.9,17,174,,7.9,3.5,4.4,0.8,0.12,7,363,2.9,11.6,1498,,201,,62,,8.54,56.7,19.4,66.4,22.7,34.2,19.2,56.4,0.7,23.9,6.49,74.6,17.7,5.2,2.2,0.3,,4.84,1.15,0.34,0.14,0.02,,183,15.4,,0.28,,,,,,,,,,,,,,,,,,,,,,,종양,,,,,,,,,
363,P0914_23,하루,0.07,0.091,0.003,0.141,9.475,0.478,0.002,0.006,0.453,0.003,0.005,0.061,434.927,71.206,612.881,252.741,13.12,147.079,280.931,23.129,0.486,0.281,0.633,0.014,0.045,0.038,0.047,1.913,6.108010561,1.548163072,2.424936991,11.21028963,8.607153892,1.720840703,개,보스턴테리어,7,MC,16,4,2,4,4,3,4,2,3,4,4,4,혀에 염증 생김,피부 가려움,,,,,,,,,간수치 상승,아토피 피부염,,,,,,,,,간질환,아토피,,,,,,,,,간질환,피부질환,,,,,,,,,,,,106,5,0.3,9,1000,,8.5,2.8,5.7,0.5,0.12,22,255,5.3,11.2,1158,,100,61,308,,7.65,48.5,17,63.4,22.2,35.1,18.9,27.5,0.4,25.7,12.93,87.8,5.9,4.3,1.9,0.1,,11.36,0.76,0.55,0.25,0.01,,629,10.9,9.7,0.69,,,,,,,,,,,,,,,,,,,,,,,간질환,피부질환,,,,,,,,
364,P0914_24,성수,0.378,0.084,0.005,0.058,6.463,0.325,0.001,0.006,0.217,0.008,0.005,0.044,897.485,149.153,1219.173,257.623,9.915,157.201,391.241,14.052,0.373,0.268,1.04,0.01,0.032,0.013,0.039,1.45,6.017210515,2.293944142,4.732391906,15.85486636,8.173975716,3.483714575,개,보더콜리,3,MC,14,3,2,2,5,5,5,5,5,5,5,5,피부 반점,어깨 통증,,,,,,,,,면역매개성피부질환 의심,,,,,,,,,,면역매개성피부질환,,,,,,,,,,피부질환,,,,,,,,,,2021-09-12,"식욕부진, 피부 반점",3,,,,,,,,,,,,,,,,,,,,,,6.88,44.1,15.5,64.1,22.5,35.1,15.6,31.6,0.5,17.9,14.71,74.1,13.7,10.3,1.8,0.1,,10.92,2.01,1.51,0.26,0.01,,163,13,11.8,0.21,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
365,P0914_25,애기,0.107,0.045,0.004,0.083,5.973,0.538,0.002,0.017,0.365,0.002,0.005,0.051,318.419,47.618,627.769,183.156,10.895,142.296,199.501,14.894,0.219,0.182,0.652,0.007,0.047,0.016,0.027,2.612,6.686946113,1.596077213,3.427509882,13.06067003,13.18343904,1.738512525,개,믹스,9,M,5.3,3,4,4,4,4,4,2,4,2,4,4,건강검진차 내원,,,,,,,,,,방광염,,,,,,,,,,방광염,,,,,,,,,,비뇨기질환,,,,,,,,,,2021-09-12,"건강검진, 방광염",2,129,16.6,0.9,19,84,,6.7,2.6,4.1,0.6,0.21,9,105,2.7,9.5,603,,77,43,147,19,6.71,41.7,14.9,62.1,22.2,35.7,16.2,21.5,0.3,25.5,5.11,63.4,20.2,8.2,8,0.2,,3.24,1.03,0.42,0.41,0.01,,174,15.3,20,0.27,50,155,4.04,1.31,119,7.43,29.3,50,19.3,-4.2,20.2,16.3,86.7,17.2,50,18.4,0.2,69,340,7,15,,기타,,,,,,,,,
366,P0914_26,토리,0.227,0.044,0.006,0.115,13.164,0.565,0.002,0.592,1.133,0.003,0.005,0.064,317.976,38.813,832.005,153.883,13.087,182.265,306.706,25.387,0.355,0.41,0.993,0.014,0.031,0.033,0.038,1.037,8.192512818,1.036745287,5.406737586,13.92717964,21.43624559,2.066349109,개,믹스,7,M,4.5,3,2,5,3,5,5,4,5,5,5,5,,,,,,,,,,,면역매개성 안검염,심장병,,,,,,,,,면역매개성안검염,심장병,,,,,,,,,안과질환,심장질환,,,,,,,,,2021-09-12,"심장초음파, 넥스가드in",3,,3,0.8,,228,,,,,,,0,,2.5,,,,,21,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,심장질환,,,,,,,,,
367,P0914_27,모아,0.551,0.058,0.017,0.247,11.073,0.543,0.003,0.033,0.373,0.001,0.006,0.099,231.282,26.489,1242.698,826.662,19.717,165.563,202.263,19.142,0.276,0.42,0.922,0.022,0.05,0.052,0.17,1.601,8.731246933,1.143471619,1.503272196,8.396967084,46.91373778,0.279778192,개,말티즈,9,MC,3.5,4,2,1,4,4,4,2,5,5,4,1,아토피,쿠싱증후군,,,,,,,,,아토피 피부염,쿠싱증후군,양측 십자인대 파열,,,,,,,,아토피,십자인대파열,쿠싱,,,,,,,,호르몬질환,피부질환,정형질환,,,,,,,,2021-09-13,"검사, 내복약",2,103,13.8,0.5,27,517,,7.1,2.7,4.3,0.6,0.1,14,375,4.8,10.9,804,,633,,111,,7.23,41.5,13.9,57.4,19.2,33.5,19.1,70.9,1,22.9,13.06,86.2,7.7,4.8,0.1,1.2,,11.25,1.01,0.63,0.01,0.16,,1040,11.2,9.1,1.16,,,,,,,,,,,,,,,,,,,,,,,피부질환,부신피질기능항진증,,,,,,,,
368,J0916_01,땅콩,2.297,0.162,0.005,1.736,11.651,0.516,0.011,0.005,0.226,0.008,0.004,0.031,276.215,43.852,784.607,117.943,11.191,196.431,300.577,14.914,0.346,0.233,1.503,0.011,0.054,0.018,0.028,1.906,6.298800511,0.918949221,6.652425324,17.5525869,17.89215999,2.341936359,개,말티즈,8,MC,3,2,5,1,5,5,5,5,5,1,5,5,항문낭 냄새가 심하고 부음,다리파행,,,,,,,,,슬개골 탈구,방광결석,항문낭염,회음부 탈장,,,,,,,회음탈장,항문낭염,방광결석,슬개골탈구,,,,,,,정형질환,소화기질환,소화기질환,비뇨기질환,,,,,,,2021-08-06,,,123,11,0.44,25,1,11,5.7,3.1,2.6,1.2,0.2,9,167,3.8,9.8,936,,114,32,,102,4.6,31.5,11.7,69,25.5,37,16.4,,,,19.2,,28.1,10.5,1.3,,61.4,,5.3,2,0.2,,11.9,255,12.1,,,,150,3.6,,110,,,,,,,,,,,100.79,,,,,,41.7,결석,,,,,,,,,
369,J0916_02,숑이,0.385,0.043,0.004,1.485,9.558,0.969,0.002,0.005,0.168,0.011,0.007,0.059,260.088,38.558,1757.698,293.494,12.99,182.154,329.992,20.975,0.354,0.315,0.885,0.017,0.06,0.029,0.044,3.633,6.745370611,0.788164562,5.988872004,14.02263279,45.58581877,0.886178252,개,비숑프리제,6,FS,8.2,4,5,5,5,5,5,5,5,1,4,5,외음부 삼출물,흥분시 기침,,,,,,,,,자궁축농증,기관지염,,,,,,,,,자궁축농증,기관지염,,,,,,,,,호흡기질환,산과,,,,,,,,,2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,6.9,45.3,16.7,66,24.2,36.8,15.7,,,,11.1,,30.6,7.5,1.3,,61.9,,3.4,0.8,0.1,,6.9,231,10.1,,,,,,,,,,,,,,,,,,,,,,,,,산과,,,,,,,,,
370,J0916_07,몽쉘,0.401,0.056,0.012,3.213,19.226,1.865,0.004,0.009,0.279,0.017,0.013,0.076,736.207,112.805,1900.731,398.931,11.268,184.109,280.582,43.985,0.813,0.367,0.75,0.027,0.224,0.069,0.051,10.742,6.526368512,2.62385684,4.764560789,16.33910188,16.84970524,1.845449464,개,말티즈,6,MC,3.3,3,5,5,5,1,5,5,5,5,5,5,눈이 하얗게 변함,,,,,,,,,,백내장,,,,,,,,,,백내장,,,,,,,,,,안과질환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
371,J0927_01,달래,0.058,0.04,0.006,15.607,8.79,0.67,0.003,0.027,0.316,0.018,0.004,0.074,696.408,66.285,550.064,363.153,23.252,224.387,214.3,17.222,0.261,0.189,0.553,0.01,0.05,0.047,0.045,1.685,10.50626839,3.249687354,1.514689401,9.650223637,8.298468733,1.917671064,개,시츄,11,F,3,1,5,5,4,4,4,4,1,5,4,5,설사,혈변,복수,,,,,,,,IBD,PLE,,,,,,,,,염증성장질환,단백질소실성장질환,,,,,,,,,소화기질환,소화기질환,,,,,,,,,2021-09-24,,,130,14.2,0.27,52.6,729,99,4.4,2.6,1.8,1.4,,,,,,,,,35,,,5.2,32.7,10.7,63,20.6,32.8,14.6,,,,20.9,,27.5,13,1.9,,59.5,,5.7,2.7,0.4,,12.5,848,7.4,,,,,,,,,,,,,,,,,,14.48,,,,,,,기타,,,,,,,,,
372,J0927_05,레오,0.157,0.035,0.003,34.55,6.807,0.446,0.002,0.007,0.135,0.03,0.003,0.07,453.185,49.869,396.959,72.519,19.825,221.746,183.334,12.701,0.173,0.213,0.615,0.004,0.042,0.014,0.071,2.398,9.087509274,2.471909193,5.473862022,11.18517024,7.960035292,6.249189867,개,말티즈,12,MC,4.7,3,4,4,1,4,2,2,2,5,4,5,기침,호흡기 증상,,,,,,,,,심부전,간수치 상승,,,,,,,,,심부전,간질환,,,,,,,,,심장질환,간질환,,,,,,,,,2021-09-12,,,121,15.8,0.57,27.7,882,75,7,4.1,2.9,1.4,0.1,6,274,4.5,11.9,794,,75,27,,285,7.2,46.9,15.5,65,21.6,33.1,16.4,,,,14.5,,22.5,8.9,1.4,,68.6,,3.2,1.2,0.2,,10.1,361,10.6,,,,142,4.3,,103,,,,,,,,,,,,,,,,,33,간질환,심장질환,,,,,,,,
373,J0927_06,두부,0.143,0.044,0.046,13.007,8.66,0.472,0.003,0.038,0.383,0.014,0.004,0.091,526.405,51.719,317.075,219.74,25.043,266.725,328.082,14.136,0.161,0.234,0.527,0.018,0.05,0.043,0.07,1.12,10.17817437,1.60449217,1.442955311,10.65068083,6.130725652,2.395581141,개,말티즈,6,MC,5,3,2,2,5,5,5,5,4,5,5,5,피부염,파행,,,,,,,,,슬개골 탈구,피부염,,,,,,,,,피부염,슬개골탈구,,,,,,,,,피부질환,정형질환,,,,,,,,,2021-09-17,,,141,26.7,0.93,28.7,212,113,7.4,4.1,3.3,1.2,0.7,10,360,4.6,11.1,558,,63,37,,417,6.7,45.2,15.2,68,22.8,33.7,15.1,,,,18.1,,34.5,8.5,11.4,,57,,6.2,1.5,2.1,,10.4,196,9,,,,148,4.1,,112,,,,,,,,,,,0,,,,,,36.1,피부질환,,,,,,,,,
374,J0927_07,달이,0.248,0.023,0.013,0.498,6.896,0.638,0.003,0.007,0.304,0.003,0.003,0.064,769.62,82.848,610.388,210.897,18.008,213.627,141.598,15.476,0.249,0.223,0.776,0.007,0.093,0.039,0.076,1.171,9.289542294,5.435246261,2.894246955,11.86289427,7.367564697,3.649269549,개,시츄,9,FS,5.5,4,4,4,5,2,4,5,4,2,5,2,설사,기침,기력저하,,,,,,,,유선종양,신장낭포,백내장,,,,,,,,백내장,유선종양,신장낭포,,,,,,,,종양,안과질환,신장질환,,,,,,,,2021-09-18,,,124,8.7,0.46,18.9,795,90,6.5,4.5,2,2.3,0.1,6,329,3.7,10.2,690,,63,28,,93,7.2,44,14.7,61,20.4,33.5,13.7,,,,7.3,,26.6,9,1,,64.4,,1.9,0.6,0.1,,4.8,553,8.7,,,,140,4,,108,,,,,,,,,,,,,,,,,35,종양,신장질환,,,,,,,,
375,J0927_08,로이,0.261,0.119,0.015,3.238,10.681,1.195,0.005,0.006,0.15,0.005,0.005,0.048,720.673,88.554,2327.219,1223.98,15.29,194.215,396.964,21.776,1.323,0.301,0.622,0.028,0.064,0.046,0.057,1.654,8.138232039,1.815461855,1.90135378,12.70209287,26.2802245,0.588794752,개,골든리트리버,1,M,31,4,4,4,5,5,5,5,5,2,5,5,피부염,생식기 고름,,,,,,,,,잠복고환,포피염,,,,,,,,,포피염,생식기함몰,,,,,,,,,비뇨기질환,비뇨기질환,,,,,,,,,2021-09-20,,,121,35.5,1.09,32.6,155,72,6.8,3.9,2.9,1.3,,,,,,,,,56,,,7.5,51,16.8,68,22.3,33,15.3,,,,10,,24.9,9.1,1.2,,66,,2.4,0.9,0.1,,6.7,191,8.2,,,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
376,J0927_12,제이,0.057,0.071,0.007,18.524,8.295,1.156,0.002,0.02,0.298,0.019,0.008,0.09,1132.273,184.554,6547.729,1404.899,11.379,156.02,331.756,20.49,0.546,0.327,0.811,0.016,0.12,0.031,0.083,11.565,6.135185366,3.41296917,4.660640373,13.71122243,35.47866207,0.805946193,개,알래스칸말라뮤트,8,F,35,4,3,3,5,5,5,5,3,5,5,5,피부염증,,,,,,,,,,간수치 상승,피부염,spondylosis,,,,,,,,피부염,척추증,간질환,,,,,,,,피부질환,간질환,정형질환,,,,,,,,2021-09-22,,,110,13.4,0.91,14.7,426,77,7.8,3.7,4.1,0.9,0.3,9,450,4.1,11.4,282,,25,25,,74,7.4,47.2,15.7,64,21.2,33.3,16.2,,,,9,,22.2,8,2,,69.8,,1.9,0.7,0.2,,6.4,296,10.6,,,,143,4.6,,116,,,,,,,,,,,,,,,,,31.1,간질환,피부질환,,,,,,,,
377,J0927_15,초롱이,0.173,0.043,0.005,0.491,7.278,1.394,0.003,0.012,0.71,0.005,0.002,0.053,659.912,88.578,2504.678,176.425,10.939,173.267,280.423,21.267,0.344,0.238,0.458,0.011,0.041,0.032,0.039,2.179,7.450066608,2.353273448,14.19684285,15.83938203,28.27652464,3.740467621,개,믹스,10,MC,4.1,3,2,4,4,4,4,4,5,5,5,5,외이도염,종양,,,,,,,,,외이도 절제술,,,,,,,,,,외이염,,,,,,,,,,귀질환,,,,,,,,,,2021-09-24,,,123,32,0.73,43.8,322,70,6.3,3.7,2.6,1.4,0.2,10,238,3.1,10.6,518,,74,30,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,4.2,,103,,,,,,,,,,,,,,,,,34,기타,,,,,,,,,
378,J0927_16,진,0.218,0.101,0.012,14.061,31.094,1.883,0.006,0.019,0.517,0.015,0.011,0.121,849.791,128.09,3274.307,2470.422,17.371,209.336,603.023,55.879,1.822,0.42,0.629,0.043,0.082,0.133,0.152,1.97,6.634327426,1.409218222,1.325403919,12.05088941,25.56254977,0.343986169,개,비숑프리제,4,MC,4.3,3,5,5,5,5,5,5,2,5,5,5,구토,설사,,,,,,,,,위염,십이지장염,,,,,,,,,위염,십이지장염,,,,,,,,,소화기질환,소화기질환,,,,,,,,,2021-09-23,,,124,23.4,1,23.4,239,67,6.9,4.2,2.7,1.6,,,,,,,,,35,,,7.8,54.6,18.5,70,23.6,33.8,15.6,,,,5.6,,26.7,5.8,1.2,,67.5,,1.4,0.3,0.1,,3.9,194,9.4,,,0,142,3.8,,108,,,,,,,,,,,108.55,,,,,,37.4,기타,,,,,,,,,
379,J0927_17,브라우니,0.022,0.013,0.016,30.056,4.484,0.372,0.002,0.009,0.548,0.023,0.001,0.056,680.124,58.634,495.142,259.273,36.95,210.74,222.81,15.585,0.419,0.308,0.436,0.024,0.035,0.048,0.118,1.357,11.59948153,3.052484179,1.909732213,5.70338295,8.444622574,2.623196399,개,푸들,8,FS,4.5,3,4,5,5,5,5,4,2,1,5,5,구토,설사,다음다뇨,,,,,,,,자궁축농증,,,,,,,,,,자궁축농증,,,,,,,,,,산과,,,,,,,,,,2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,5.5,34.2,11.4,63,20.8,33.3,16.4,,,,23.7,,18.4,7.3,2.5,,74.3,,4.3,1.7,0.6,,17.7,282,12.3,,,,,,,,,,,,,,,,,,57.5,,,,,,,산과,,,,,,,,,
380,J0927_18,아토,0.03,0.024,0.004,0.555,5.804,0.645,0.003,0.018,0.491,0.017,0.004,0.091,2688.761,325.688,555.373,405.8,17.995,203.579,223.829,19.972,0.413,0.424,1.131,0.008,0.042,0.047,0.193,2.598,8.255634227,12.01256763,1.368587974,11.31308697,1.705230159,6.625827994,개,푸들,5,M,4.4,3,2,1,5,5,5,4,5,5,5,5,뒷다리파행,소양감,,,,,,,,,슬개골탈구,고관절탈구,외이염,,,,,,,,외이염,슬개골탈구,,,,,,,,,정형질환,귀질환,,,,,,,,,2021-09-24,,,138,11.5,0.33,34.8,244,68,6.6,4.7,1.9,2.5,,,,,,,,,21,,,7.1,43.7,14.3,62,20.2,32.7,14.5,,,,11.7,,37.1,10.8,1.8,,52.1,,4.3,1.2,0.2,,6.2,309,10.5,,,,,,,,,,,,,,,,,,5.02,,,,,,,기타,,,,,,,,,
381,J0927_19,나루,0.03,0.064,0.005,4.281,14.444,0.542,0.004,0.007,0.206,0.006,0.007,0.078,844.87,121.612,2464.464,207.728,20.949,192.268,308.374,31.779,0.754,0.245,0.74,0.016,0.044,0.049,0.06,1.37,6.947258494,2.739757567,11.86389894,9.177908253,20.26497385,4.067193638,개,믹스,18,FS,6.5,4,2,3,4,4,4,2,2,1,4,4,유선종양,통증,,,,,,,,,유선종양,피부염,치은염,,,,,,,,피부염,유선종양,치주질환,,,,,,,,피부질환,치아질환,종양,,,,,,,,2021-09-24,,,135,24.9,1.55,16.1,907,42,8.1,3.6,4.5,0.8,0.2,6,322,4.3,12,1632,,300,33,,500,7.4,42.5,13.6,57,18.4,32.1,17,,,,10,,28.4,10.9,3.8,,60.7,,2.8,1,0.4,,6.2,160,12.2,,,,140,4.5,,93,,,,,,,,,,,16.81,,,,,,31.1,종양,피부질환,,,,,,,,
382,P0927_01,초롱이,0.064,0.037,0.003,0.215,6.224,1.867,0.001,0.065,0.432,0.004,0.005,0.078,1648.45,179.598,1167.539,379.388,17.811,230.934,174.063,16.172,0.361,0.238,0.741,0.011,0.019,0.028,0.131,1.395,9.178554327,9.470421629,3.07742733,12.96580765,6.500846335,4.345024091,개,요크셔테리어,12,FS,4.5,4,3,1,4,4,4,2,4,4,5,2,좌측 후지 파행,다음다뇨,,,,,,,,,좌측십자인대 파열,고지혈증,쿠싱증후군 의심,,,,,,,,십자인대파열,쿠싱,고콜레스테롤증,,,,,,,,호르몬질환,혈액,정형질환,,,,,,,,2021-09-13,"다리진료, 마취전 검사",8,93,29.9,0.9,33,343,,,,,0.6,0.11,6,340,4.1,12.9,1551,,1000,,24,,8.1,49.8,16.6,61.5,20.5,33.3,20.4,36.5,0.5,21.6,7,69.8,15.4,11.1,2.6,1.1,,4.88,1.08,0.78,0.18,0.08,,438,13.2,12.9,0.58,,,,,,,,,,,,,,,,,,,,,17,,부신피질기능항진증,,,,,,,,,
383,P0927_02,만두,0.099,0.079,0.04,0.267,29.855,1.024,0.004,0.034,1.557,0.003,0.006,0.217,256.881,36.78,451.677,95.198,13.2,190.903,180.689,63.12,0.903,0.495,0.857,0.033,0.047,0.077,0.049,1.108,6.984257749,1.421674811,4.744605979,14.46234848,12.28050571,2.698386521,개,비숑프리제,5,MC,8.4,3,2,5,5,5,5,4,5,5,5,5,만성 가려움증,,,,,,,,,,아토피성 피부염,,,,,,,,,,아토피,,,,,,,,,,피부질환,,,,,,,,,,2021-09-13,혈액검사,2,125,16,0.6,,10,,8.1,3.7,4.4,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,피부질환,,,,,,,,,
384,P0927_03,구찌,0.08,0.04,0.009,0.357,14.125,26.385,0.003,0.033,0.626,0.008,0.005,0.178,1911.389,271.389,1121.773,364.039,13.621,152.224,245.945,25.301,0.501,0.433,0.976,0.019,0.067,0.045,0.158,1.793,7.042986267,7.771611539,3.081463799,11.1756846,4.133450508,5.250506127,개,미니어처핀셔,12,MC,6.36,3,3,2,3,4,4,1,3,4,4,4,,,,,,,,,,,7월경 췌장염 수치 상승 있었으나 정상화,치주질환 심하여 치과치료로 내원,,,,,,,,,기타(과거력),치주질환,,,,,,,,,치아질환,기타,,,,,,,,,2021-09-14,치주염 발치,1,92,8.3,0.5,15,171,,8.4,2.6,5.8,0.5,0.1,5,171,3.7,10.7,1606,,188,,72,,7.55,44.9,14.9,59.5,19.7,33.2,20.6,,1.8,19.8,8.48,,17.2,10.3,1.9,0,,5.99,1.46,0.87,0.16,0,,522,13.2,13.7,0.69,186,,,,,,,,,,,,,,,22,,,,,,,기타,,,,,,,,,
385,P0927_04,샛별,0.119,0.04,0.006,0.095,6.816,0.221,0.062,0.007,0.141,0.003,0.003,0.082,195.022,27.159,150.411,49.181,16.225,202.732,204.06,15.396,0.321,0.323,0.411,0.01,0.013,0.027,0.054,1.139,7.180750396,0.955709105,3.058315203,12.49503852,5.538164144,3.96539314,개,요크셔테리어,16,FS,2.7,1,2,2,3,3,2,2,1,3,3,3,보름동안 구토 증상,,,,,,,,,,소화기 림포마,,,,,,,,,,림프종,,,,,,,,,,종양,,,,,,,,,,2021-09-16,SI mass(Lymphoma sus),3,57,61.4,2.1,29,44,,6.1,2.5,3.6,0.7,0.12,5,150,6.7,9.6,2016,,859,,47,,5.3,31.2,10.9,58.9,20.6,34.9,16.4,82.7,1.6,23.9,40.29,76.8,6.1,16.4,0,0.7,,30.95,2.46,6.59,0.02,0.27,,680,14.2,15.9,0.97,600.3,144,3.9,1.03,97,7.46,45,31,31.7,7.6,33,15.3,62.8,10.1,31,56.9,,,,,,,종양,,,,,,,,,
386,P0927_05,닐,0.097,0.05,0.018,0.352,23.08,1.058,0.005,0.028,0.578,0.004,0.005,0.114,384.832,39.147,472.447,225.386,18.418,202.889,182.455,45.322,0.817,0.515,0.73,0.028,0.044,0.109,0.062,1.028,9.830434005,2.109188567,2.096168351,11.01579976,12.06853654,1.707435244,개,비숑프리제,8,FS,4.3,3,3,3,4,4,4,3,4,4,4,4,특이사항 없음,,,,,,,,,,여아중성화 실시,특이사항 없음,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-09-16,마취전검사,4,96,19.1,0.8,24,67,,7.3,2.9,4.4,0.7,0.14,5,238,3,10.1,519,,40,,,,6.65,43.1,15.1,64.8,22.7,35,18.7,46.6,0.7,25.8,9.94,72.7,14.9,6.9,5.2,0.3,,7.22,1.48,0.69,0.52,0.03,,289,14.8,,0.43,,152,4.47,1.32,117,7.43,32.6,40,21.1,-2.6,22.1,14.1,76.6,15.6,40,,,,,,8,,건강,,,,,,,,,
387,P0927_06,이쁜이,0.083,0.096,0.005,0.477,19.033,1.014,0.004,0.01,0.513,0.004,0.007,0.083,537.088,71.016,5802.718,543.25,17.601,202.767,220.66,41.543,0.743,0.501,0.899,0.026,0.033,0.057,0.046,0.946,7.562915399,2.43400707,10.68148734,11.52019772,81.71000901,0.988657156,개,시츄,8,FS,6.2,4,5,5,5,5,5,3,5,5,5,5,,,,,,,,,,,,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-09-18,스켈링전검사,8,105,25.2,1,25,72,,7.4,2.6,4.8,0.5,0.14,8,242,2.4,10.6,525,,37,,,,7.1,44.4,16.2,62.5,22.8,36.5,15.8,53.8,0.8,24.8,7.96,70.7,19.6,4.5,4.8,0.4,,5.63,1.56,0.36,0.38,0.03,,499,11.5,9.9,0.57,,153,4.36,1.36,114,7.42,37.5,47,23.6,-0.4,24.8,15,83.8,17.7,47,,,,,,6,,건강,,,,,,,,,
